, Trial_ID,pos,Percent_Captures,Capture_Count,RSSI,Time_to_Discovery,Trial,Listener Latency,Adv Latency,Adv Power
49,6.0,6.0,0.14230231474289265,916.0,-92.65174672489084,3799.0,6.0,Balanced,Low_Latency,Medium
50,6.0,7.199999999999998,0.15069131583035575,970.0,-93.17835051546392,3799.0,6.0,Balanced,Low_Latency,Medium
51,6.0,8.4,0.1343793692713997,865.0,-97.10751445086706,3799.0,6.0,Balanced,Low_Latency,Medium
52,6.0,9.6,0.10750349541711976,692.0,-95.78468208092484,3799.0,6.0,Balanced,Low_Latency,Medium
53,6.0,10.8,0.0029516855678110927,19.0,-101.94736842105264,3795.0,6.0,Balanced,Low_Latency,Medium
54,6.0,12.0,0.0038837967997514366,25.0,-101.32,3795.0,6.0,Balanced,Low_Latency,Medium
55,7.0,1.2,0.1986641221374046,1041.0,-89.34101825168108,700.0,7.0,Balanced,Low_Latency,Low
56,7.0,2.4,0.08110687022900763,425.0,-97.72,700.0,7.0,Balanced,Low_Latency,Low
57,7.0,3.6,0.08759541984732824,459.0,-98.01960784313722,701.0,7.0,Balanced,Low_Latency,Low
58,7.0,4.8,0.015648854961832062,82.0,-100.54878048780488,706.0,7.0,Balanced,Low_Latency,Low
59,7.0,6.0,0.18206106870229008,954.0,-95.66142557651993,700.0,7.0,Balanced,Low_Latency,Low
60,7.0,7.199999999999998,0.1946564885496183,1020.0,-95.91176470588236,700.0,7.0,Balanced,Low_Latency,Low
61,7.0,8.4,0.10286259541984732,539.0,-99.94990723562151,700.0,7.0,Balanced,Low_Latency,Low
62,7.0,9.6,0.13091603053435116,686.0,-98.65743440233236,700.0,7.0,Balanced,Low_Latency,Low
63,7.0,10.8,0.0064885496183206106,34.0,-102.67647058823529,716.0,7.0,Balanced,Low_Latency,Low
64,8.0,1.2,0.5412345679012346,1096.0,-95.5456204379562,1900.0,8.0,Balanced,Low_Latency,Ultra_low
