 Trial_ID,pos,Percent_Captures,Capture_Count,RSSI,Time_to_Discovery
1,1.2,0.10105155167991793,394,-75.28934010152284,2720.0
1,2.4,0.0979738394460118,382,-87.58638743455498,2722.0
1,3.5999999999999996,0.11797896896640164,460,-86.20869565217392,2720.0
1,4.8,0.10233393177737882,399,-88.38345864661655,2721.0
1,6.0,0.10233393177737882,399,-83.86466165413533,2720.0
1,7.199999999999999,0.10797640420620672,421,-86.30166270783847,2720.0
1,8.4,0.12028725314183124,469,-89.33475479744136,2720.0
1,9.6,0.10797640420620672,421,-89.65320665083135,2720.0
1,10.799999999999999,0.06386252885355219,249,-97.65461847389558,2720.0
1,12.0,0.07822518594511413,305,-97.9672131147541,2722.0
2,1.2,0.11960043196544276,443,-83.04740406320542,1398.0
2,2.4,0.08018358531317495,297,-94.56228956228956,1399.0
2,3.5999999999999996,0.091792656587473,340,-93.43235294117648,1399.0
2,4.8,0.08423326133909287,312,-96.67628205128206,1399.0
2,6.0,0.12661987041036718,469,-89.44136460554371,1399.0
2,7.199999999999999,0.11906047516198705,441,-89.95238095238095,1399.0
2,8.4,0.11177105831533478,414,-94.55314009661836,1399.0
2,9.6,0.11744060475161987,435,-94.05747126436782,1399.0
2,10.799999999999999,0.0939524838012959,348,-98.66666666666667,1399.0
2,12.0,0.05534557235421166,205,-99.95121951219512,1399.0
3,1.2,0.1929337038507344,486,-88.77777777777777,259.0
3,2.4,0.07105994442238983,179,-96.71508379888269,258.0
3,3.5999999999999996,0.09765780071456927,246,-97.50813008130082,259.0
3,4.8,0.025803890432711394,65,-100.01538461538462,255.0
3,6.0,0.18816990869392616,474,-95.0632911392405,259.0
3,7.199999999999999,0.1925367209210004,485,-96.05773195876289,259.0
3,8.4,0.0980547836443033,247,-99.47368421052632,259.0
3,9.6,0.12504962286621676,315,-97.95555555555555,259.0
3,10.799999999999999,0.007939658594680429,20,-101.8,210.0
3,12.0,0.0007939658594680428,2,-104.5,227.0
4,1.2,0.8716981132075472,462,-98.24025974025975,4760.0
4,3.5999999999999996,0.016981132075471698,9,-102.33333333333333,4797.0
4,6.0,0.0509433962264151,27,-101.81481481481481,4776.0
4,7.199999999999999,0.05471698113207547,29,-102.24137931034483,4767.0
4,9.6,0.005660377358490566,3,-103.0,4927.0
5,1.2,0.12503290339563042,950,-79.9557894736842,4579.0
5,2.4,0.10397473019215583,790,-90.32025316455696,4579.0
5,3.5999999999999996,0.0916030534351145,696,-89.36925287356321,4579.0
5,4.8,0.12042642800737036,915,-94.58251366120219,4579.0
5,6.0,0.11674124769676231,887,-85.89289740698986,4579.0
5,7.199999999999999,0.1280600157936299,973,-87.42857142857143,4579.0
5,8.4,0.10910765991050277,829,-90.90470446320869,4579.0
5,9.6,0.09949986838641747,756,-89.7579365079365,4579.0
5,10.799999999999999,0.044222163727296655,336,-98.36904761904762,4579.0
5,12.0,0.06133192945511977,466,-99.43776824034335,4579.0
6,1.2,0.1491377971104552,960,-86.05,3799.0
6,2.4,0.09926984620164674,639,-96.5774647887324,3799.0
6,3.5999999999999996,0.11915488581637408,767,-94.57105606258149,3799.0
6,4.8,0.09072549324219358,584,-99.21917808219177,3799.0
6,6.0,0.14230231474289265,916,-92.65174672489083,3799.0
6,7.199999999999999,0.15069131583035575,970,-93.17835051546392,3799.0
6,8.4,0.1343793692713997,865,-97.10751445086706,3799.0
6,9.6,0.10750349541711977,692,-95.78468208092485,3799.0
6,10.799999999999999,0.0029516855678110923,19,-101.94736842105263,3795.0
6,12.0,0.003883796799751437,25,-101.32,3795.0
7,1.2,0.1986641221374046,1041,-89.34101825168108,700.0
7,2.4,0.08110687022900763,425,-97.72,700.0
7,3.5999999999999996,0.08759541984732824,459,-98.01960784313725,701.0
7,4.8,0.015648854961832062,82,-100.54878048780488,706.0
7,6.0,0.18206106870229008,954,-95.66142557651992,700.0
7,7.199999999999999,0.1946564885496183,1020,-95.91176470588235,700.0
7,8.4,0.10286259541984732,539,-99.94990723562152,700.0
7,9.6,0.13091603053435114,686,-98.65743440233236,700.0
7,10.799999999999999,0.0064885496183206106,34,-102.67647058823529,716.0
8,1.2,0.5412345679012346,1096,-95.5456204379562,1900.0
8,2.4,0.03358024691358025,68,-101.67647058823529,1900.0
8,3.5999999999999996,0.054814814814814816,111,-101.29729729729729,1901.0
8,6.0,0.19950617283950617,404,-99.76980198019803,1901.0
8,7.199999999999999,0.16246913580246913,329,-99.62006079027356,1900.0
8,8.4,0.0014814814814814814,3,-103.66666666666667,2061.0
8,9.6,0.006913580246913581,14,-103.07142857142857,1903.0
9,1.2,0.11753371868978806,122,-76.71311475409836,2624.0
9,2.4,0.12427745664739884,129,-90.56589147286822,2620.0
9,3.5999999999999996,0.11849710982658959,123,-87.96747967479675,2622.0
9,4.8,0.08766859344894026,91,-92.54945054945055,2622.0
9,6.0,0.12620423892100194,131,-94.9618320610687,2622.0
9,7.199999999999999,0.10982658959537572,114,-84.34210526315789,2621.0
9,8.4,0.07129094412331406,74,-99.6891891891892,2622.0
9,9.6,0.1329479768786127,138,-87.47101449275362,2620.0
9,10.799999999999999,0.11175337186897881,116,-92.29310344827586,2622.0
10,1.2,0.11597151576805696,114,-83.13157894736842,3401.0
10,2.4,0.08240081383519837,81,-94.71604938271605,3400.0
10,3.5999999999999996,0.09766022380467955,96,-93.33333333333333,3406.0
10,4.8,0.06307222787385554,62,-97.43548387096774,3402.0
10,6.0,0.12614445574771108,124,-89.08870967741936,3401.0
10,7.199999999999999,0.11495422177009156,113,-90.14159292035399,3400.0
